week,channel,launched,coverage,fatalities,war_images,war_share_out_of_total
2022-12-05,a3,99.0,0.0822510822510822,313,0.1556016597510373,0.0189393939393939
2022-12-05,la6,99.0,0.0817610062893081,313,0.2131461391193363,0.0175052410901467
2022-12-05,t5,99.0,0.0841584158415841,313,0.1488326848249027,0.0126237623762376
2022-12-12,a3,116.0,0.0484581497797356,282,0.2622950819672131,0.0074074074074074
2022-12-12,la6,116.0,0.0464285714285714,282,0.171945701357466,0.0078838174273858
2022-12-12,t5,116.0,0.0184331797235023,282,0.2469135802469135,0.0046082949308755
2022-12-19,a3,38.0,0.115,646,0.1590744757772957,0.0183333333333333
2022-12-19,la6,38.0,0.0725806451612903,646,0.2532228360957643,0.0184811827956989
2022-12-19,t5,38.0,0.0813953488372093,646,0.1985815602836879,0.0162790697674418
2022-12-26,a3,156.0,0.13125,972,0.1687014428412874,0.0258503401360544
2022-12-26,la6,156.0,0.0513513513513513,972,0.1895124195032198,0.0110396570203644
2022-12-26,t5,156.0,0.0875912408759124,972,0.2924137931034483,0.0257907542579075
2023-01-02,a3,41.0,0.0742574257425742,211,0.1226611226611226,0.0072839506172839
2023-01-02,la6,41.0,0.0881226053639846,211,0.2743682310469314,0.0242656449553001
2023-01-02,t5,41.0,0.0655021834061135,211,0.1934065934065934,0.0128093158660844
2023-01-09,a3,42.0,0.1052631578947368,344,0.2968277945619335,0.030324074074074
2023-01-09,la6,42.0,0.0608365019011406,344,0.3536711478800414,0.0216730038022813
2023-01-09,t5,42.0,0.0714285714285714,344,0.3914835164835165,0.0282738095238095
2023-01-16,a3,2.0,0.1639344262295081,237,0.2765072765072765,0.0341025641025641
2023-01-16,la6,2.0,0.0604026845637583,237,0.3483870967741935,0.0211409395973154
2023-01-16,t5,2.0,0.0594059405940594,237,0.2754820936639118,0.0165016501650165
2023-01-23,a3,83.0,0.2317073170731707,209,0.3609958506224066,0.0174698795180722
2023-01-23,la6,83.0,0.1122112211221122,209,0.3497560975609756,0.0394389438943894
2023-01-23,t5,83.0,0.1116751269035533,209,0.3110443275732532,0.0350253807106599
2023-02-06,a3,139.0,0.0702479338842975,153,,
2023-02-06,la6,139.0,0.0618892508143322,153,0.3103748910200523,0.0193268186753528
2023-02-06,t5,139.0,0.0479041916167664,153,0.2045454545454545,0.009880239520958
2023-02-13,a3,40.0,0.2369668246445497,179,,
2023-02-13,la6,40.0,0.1042471042471042,179,0.2206515058389674,0.0231016731016731
2023-02-13,t5,40.0,0.1320754716981132,179,0.2263593380614657,0.0301100628930817
2023-02-27,a3,18.0,0.1244813278008298,261,0.281767955801105,0.0274193548387096
2023-02-27,la6,18.0,0.0493421052631578,261,0.3083700440528634,0.0153508771929824
2023-02-27,t5,18.0,0.1039603960396039,261,0.2923561859732072,0.0306105610561056
2023-03-06,a3,106.0,0.1054852320675105,161,,
2023-03-06,la6,106.0,0.054054054054054,161,0.3280757097791798,0.0175675675675675
2023-03-06,t5,106.0,0.0816326530612244,161,0.3983488132094943,0.0328231292517006
2023-03-13,a3,20.0,0.1304347826086956,192,,
2023-03-13,la6,20.0,0.1,192,0.2616150442477876,0.0262777777777777
2023-03-13,t5,20.0,0.109375,192,0.2525570416994492,0.0278645833333333
2023-03-20,a3,25.0,0.092511013215859,175,,
2023-03-20,la6,25.0,0.101010101010101,175,0.1969026548672566,0.0199775533108866
2023-03-20,t5,25.0,0.1025641025641025,175,0.1942148760330578,0.02008547008547
2023-03-27,a3,26.0,0.0785123966942148,215,,
2023-03-27,la6,26.0,0.0531561461794019,215,0.2107438016528925,0.0112956810631229
2023-03-27,t5,26.0,0.0552763819095477,215,0.1471471471471471,0.0082077051926298
2023-04-03,a3,18.0,0.0789473684210526,169,0.2555555555555555,0.0207207207207207
2023-04-03,la6,18.0,0.057347670250896,169,0.2891191709844559,0.0166666666666666
2023-04-03,t5,18.0,0.036697247706422,169,0.179381443298969,0.0066513761467889
2023-04-10,a3,2.0,0.0917030567685589,224,,
2023-04-10,la6,2.0,0.040133779264214,224,0.2859116022099447,0.0115384615384615
2023-04-10,t5,2.0,0.0808080808080808,224,0.3508771929824561,0.0286195286195286
2023-04-17,a3,54.0,0.1038961038961039,201,0.2645833333333333,0.0197819314641744
2023-04-17,la6,54.0,0.076158940397351,201,0.2627939142461964,0.0174953959484346
2023-04-17,t5,54.0,0.0787878787878787,201,0.2073791348600508,0.0164646464646464
2023-04-24,a3,43.0,0.1217948717948717,444,0.1935201401050788,0.0236111111111111
2023-04-24,la6,43.0,0.0738916256157635,444,0.1878453038674033,0.0139573070607553
2023-04-24,t5,43.0,0.0746268656716417,444,0.3638368246968026,0.0273631840796019
2023-05-01,a3,89.0,0.1428571428571428,228,0.1618257261410788,0.0232142857142857
2023-05-01,la6,89.0,0.0564102564102564,228,0.1161387631975867,0.0065811965811965
2023-05-01,t5,89.0,0.0891089108910891,228,0.2332415059687786,0.0209570957095709
2023-05-08,a3,136.0,0.1298701298701298,256,0.2159468438538206,0.0281385281385281
2023-05-08,la6,136.0,0.0392156862745098,256,0.2525879917184265,0.0099673202614379
2023-05-08,t5,136.0,0.0792682926829268,256,0.2121982210927573,0.0169715447154471
2023-05-15,a3,135.0,0.1059322033898305,171,0.2147606382978723,0.0228107344632768
2023-05-15,la6,135.0,0.054054054054054,171,0.229253112033195,0.0124436936936936
2023-05-15,t5,135.0,0.0495049504950495,171,0.1696869851729819,0.0084983498349834
2023-05-22,a3,184.0,0.0876288659793814,562,0.2717497556207233,0.0238831615120274
2023-05-22,la6,184.0,0.0313725490196078,562,0.2587991718426501,0.0081699346405228
2023-05-22,t5,184.0,0.0452261306532663,562,0.4513761467889908,0.0206030150753768
2023-05-29,a3,180.0,0.0526315789473684,320,0.2468965517241379,0.0130847953216374
2023-05-29,la6,180.0,0.0360655737704918,320,0.1822289156626506,0.0066120218579234
2023-05-29,t5,180.0,0.0360824742268041,320,0.1643192488262911,0.0060137457044673
2023-06-05,a3,126.0,0.0773480662983425,502,0.2330558858501783,0.0180478821362799
2023-06-05,la6,126.0,0.0368852459016393,502,0.1428571428571428,0.005327868852459
2023-06-05,t5,126.0,0.0853658536585365,502,0.1617473435655254,0.0139227642276422
2023-06-12,a3,96.0,0.0535714285714285,349,0.2121771217712177,0.0099309153713298
2023-06-12,la6,96.0,0.0163934426229508,349,0.2491694352159468,0.0040983606557377
2023-06-12,t5,96.0,0.0344827586206896,349,0.2917647058823529,0.0101806239737274
2023-06-19,a3,130.0,0.1359649122807017,156,0.2191854233654876,0.0298976608187134
2023-06-19,la6,130.0,0.0802675585284281,156,0.2372759856630824,0.0184503901895206
2023-06-19,t5,130.0,0.074074074074074,156,0.1572104018912529,0.0117283950617283
2023-06-26,a3,49.0,0.0956521739130434,165,0.1932075471698113,0.0185507246376811
2023-06-26,la6,49.0,0.0651465798045602,165,0.1510373443983402,0.0098805646036916
2023-06-26,t5,49.0,0.066079295154185,165,0.1674008810572687,0.0111600587371512
2023-07-03,a3,58.0,0.0804020100502512,135,0.2107995846313603,0.017001675041876
2023-07-03,la6,58.0,0.0802919708029197,135,0.1951588502269289,0.0156934306569343
2023-07-03,t5,58.0,0.0625,135,0.268595041322314,0.0169270833333333
2023-07-10,a3,110.0,0.0670391061452514,414,0.1211401425178147,0.0057432432432432
2023-07-10,la6,110.0,0.0638297872340425,414,0.5208333333333334,0.0408496732026143
2023-07-10,t5,110.0,0.028169014084507,414,0.360655737704918,0.0103286384976525
2023-07-17,a3,190.0,0.0696517412935323,192,0.2434679334916864,0.0169983416252072
2023-07-17,la6,190.0,0.0685714285714285,192,0.1177285318559556,0.008095238095238
2023-07-17,t5,190.0,0.0714285714285714,192,0.2073394495412844,0.0149470899470899
2023-07-24,a3,64.0,0.0535714285714285,140,0.2205882352941176,0.0119047619047619
2023-07-24,la6,64.0,0.0440528634361233,140,0.1870860927152318,0.0082966226138032
2023-07-24,t5,64.0,0.0582010582010582,140,0.176911544227886,0.010405643738977
2023-07-31,a3,115.0,0.0683760683760683,399,0.1506682867557715,0.0101307189542483
2023-07-31,la6,115.0,0.0489296636085626,399,0.1503184713375796,0.0072570725707257
2023-07-31,t5,115.0,0.0683229813664596,399,0.2872180451127819,0.0197722567287784
2023-08-07,a3,19.0,0.0165289256198347,120,0.2231404958677686,0.0037190082644628
2023-08-07,la6,19.0,0.0100334448160535,120,0.2747252747252747,0.0027870680044593
2023-08-07,t5,19.0,0.0189873417721519,120,0.2240437158469945,0.0043248945147679
2023-08-14,a3,102.0,0.0365853658536585,173,0.2725598526703499,0.0100271002710027
2023-08-14,la6,102.0,0.0173697270471464,173,0.3507109004739336,0.0061207609594706
2023-08-14,t5,102.0,0.0486111111111111,173,0.3011764705882352,0.0148148148148148
2023-08-21,a3,38.0,0.0775862068965517,69,0.2326869806094182,0.018103448275862
2023-08-21,la6,38.0,0.0569948186528497,69,0.2734196496572734,0.0155008635578583
2023-08-21,t5,38.0,0.0490797546012269,69,0.2629399585921325,0.0129856850715746
2023-08-28,a3,77.0,0.0526315789473684,118,0.2168508287292817,0.0114766081871345
2023-08-28,la6,77.0,0.0529100529100529,118,0.1857379767827529,0.0098765432098765
2023-08-28,t5,77.0,0.0418848167539267,118,0.1958762886597938,0.0082897033158813
2023-09-04,a3,151.0,0.0458715596330275,172,0.168053244592346,0.0077217125382263
2023-09-04,la6,151.0,0.0274914089347079,172,0.140495867768595,0.0038946162657502
2023-09-04,t5,151.0,0.0478723404255319,172,0.3009174311926605,0.0145390070921985
2023-09-11,a3,112.0,0.0491071428571428,152,0.1039156626506024,0.0051339285714285
2023-09-11,la6,112.0,0.0730897009966777,152,0.1327300150829562,0.0097452934662236
2023-09-11,t5,112.0,0.0375,152,0.2148760330578512,0.008125
2023-09-18,a3,170.0,0.091324200913242,254,0.1510373443983402,0.0138508371385083
2023-09-18,la6,170.0,0.0287769784172661,254,0.08125,0.0023381294964028
2023-09-18,t5,170.0,0.0423280423280423,254,0.2954545454545454,0.0126102292768959
2023-09-25,a3,194.0,0.0714285714285714,178,0.1988950276243093,0.0140625
2023-09-25,la6,194.0,0.036697247706422,178,0.15625,0.0057339449541284
2023-09-25,t5,194.0,0.0319148936170212,178,0.2225274725274725,0.0071808510638297
2023-10-02,a3,101.0,0.0703517587939698,215,0.1886120996441281,0.0133165829145728
2023-10-02,la6,101.0,0.033003300330033,215,0.12109375,0.0039591315453384
2023-10-02,t5,101.0,0.0736842105263157,215,0.1759149940968122,0.0130701754385964
2023-10-09,a3,71.0,0.0044642857142857,156,0.1967213114754098,0.0008928571428571
2023-10-09,la6,71.0,0.00625,156,0.4297520661157025,0.0027083333333333
2023-10-09,t5,71.0,0.0051546391752577,156,0.4426229508196721,0.0023195876288659
2023-10-16,a3,62.0,0.0221238938053097,191,0.1721854304635761,0.003834808259587
2023-10-16,la6,62.0,0.0133333333333333,191,0.0909090909090909,0.0012222222222222
2023-10-16,t5,62.0,0.0207253886010362,191,0.2716049382716049,0.0056994818652849
2023-10-23,a3,73.0,0.0309278350515463,100,0.2644628099173554,0.0086021505376344
2023-10-23,la6,73.0,0.0,100,,0.0
2023-10-23,t5,73.0,0.0209424083769633,100,0.3497942386831276,0.0074171029668411
2023-10-30,a3,107.0,0.0085106382978723,181,0.2459016393442623,0.002127659574468
2023-10-30,la6,107.0,0.0273556231003039,181,0.1672794117647058,0.0046099290780141
2023-10-30,t5,107.0,0.0,181,,0.0
2023-11-06,a3,50.0,0.0088105726872246,190,0.0330578512396694,0.0002936857562408
2023-11-06,la6,50.0,0.0283018867924528,190,0.1146025878003696,0.0032494758909853
2023-11-06,t5,50.0,0.005181347150259,190,0.1639344262295081,0.0008635578583765
2023-11-13,a3,103.0,0.0175438596491228,230,0.0331950207468879,0.0005847953216374
2023-11-13,la6,103.0,0.0161290322580645,230,0.1092715231788079,0.001774193548387
2023-11-13,t5,103.0,0.0106951871657754,230,0.0991735537190082,0.0010695187165775
2023-11-20,a3,122.0,0.021551724137931,138,0.18,0.0038793103448275
2023-11-20,la6,122.0,0.0194805194805194,138,0.0939226519337016,0.0018398268398268
2023-11-20,t5,122.0,0.0053475935828877,138,0.180327868852459,0.0009803921568627
2023-11-27,a3,111.0,0.0401785714285714,159,0.1135531135531135,0.0046130952380952
2023-11-27,la6,111.0,0.0354838709677419,159,0.1342383107088989,0.0047849462365591
2023-11-27,t5,111.0,0.0310880829015544,159,0.2087912087912088,0.0065630397236614
2023-12-04,a3,154.0,0.0307017543859649,129,0.1615201900237529,0.0049707602339181
2023-12-04,la6,154.0,0.0275229357798165,129,0.1792975970425138,0.0049439347604485
2023-12-04,t5,154.0,0.015228426395939,129,0.0655737704918032,0.0010152284263959
2023-12-11,a3,175.0,0.0701754385964912,97,0.0851505711318795,0.0059941520467836
2023-12-11,la6,175.0,0.0255591054313099,97,0.1556016597510373,0.0039936102236421
2023-12-11,t5,175.0,0.0382165605095541,97,0.2273972602739726,0.0088110403397027
2023-12-18,a3,121.0,0.0398009950248756,105,0.1141078838174273,0.0045605306799336
2023-12-18,la6,121.0,0.0073260073260073,105,0.3333333333333333,0.0024420024420024
2023-12-18,t5,121.0,0.029940119760479,105,0.2171052631578947,0.0065868263473053
2023-12-25,a3,336.0,0.0575221238938053,240,0.3316326530612244,0.0191740412979351
2023-12-25,la6,336.0,0.0485933503836317,240,0.186248912097476,0.0091219096334185
2023-12-25,t5,336.0,0.032,240,0.3319672131147541,0.0108
2024-01-01,a3,326.0,0.0203045685279187,254,0.3388429752066115,0.0069373942470389
2024-01-01,la6,326.0,0.0176678445229682,254,0.132013201320132,0.0023557126030624
2024-01-01,t5,326.0,0.0194805194805194,254,0.2967032967032967,0.0058441558441558
2024-01-08,a3,105.0,0.0098039215686274,132,0.2231404958677686,0.0022058823529411
2024-01-08,la6,105.0,0.0031055900621118,132,0.0163934426229508,5.175983436853002e-05
2024-01-08,t5,105.0,0.0147058823529411,132,0.1475409836065573,0.0022058823529411
2024-01-15,a3,76.0,0.0431654676258992,136,0.1322314049586777,0.0057553956834532
2024-01-15,la6,76.0,0.0326086956521739,136,0.1597796143250688,0.0052536231884057
2024-01-15,t5,76.0,0.0101010101010101,136,0.1,0.001010101010101
2024-01-22,a3,92.0,0.0588235294117647,100,0.2745098039215686,0.0162210338680926
2024-01-22,la6,92.0,0.0299625468164794,100,0.2774327122153209,0.0083645443196004
2024-01-22,t5,92.0,0.0122699386503067,100,,
2024-01-29,a3,125.0,0.0616740088105726,154,0.1433649289099526,0.0088839941262848
2024-01-29,la6,125.0,0.0157728706624605,154,0.2417218543046357,0.003838065194532
2024-01-29,t5,125.0,0.037037037037037,154,0.3305785123966942,0.0040899795501022
2024-02-05,a3,177.0,0.0307017543859649,188,0.1472684085510688,0.00453216374269
2024-02-05,la6,177.0,0.0126582278481012,188,0.1458333333333333,0.0018459915611814
2024-02-05,t5,177.0,0.0783132530120482,188,0.1037735849056603,0.0038800705467372
2024-02-12,a3,97.0,0.1124497991967871,264,0.1270029673590504,0.0143239625167336
2024-02-12,la6,97.0,0.0660377358490566,264,0.2033227848101265,0.0134696016771488
2024-02-12,t5,97.0,0.1296296296296296,264,0.1308767471410419,0.0103413654618473
2024-02-19,a3,143.0,0.0881355932203389,313,0.1327377153797064,0.0117514124293785
2024-02-19,la6,143.0,0.0483870967741935,313,0.1585365853658536,0.0076881720430107
2024-02-19,t5,143.0,0.0855614973262032,313,0.1867612293144208,0.0243827160493827
2024-02-26,a3,92.0,0.0535714285714285,151,0.1497919556171983,0.0080357142857142
2024-02-26,la6,92.0,0.0422077922077922,151,0.1800766283524904,0.0076298701298701
2024-02-26,t5,92.0,0.0256410256410256,151,0.181159420289855,0.0155971479500891
2024-03-04,a3,169.0,0.0311111111111111,116,0.1445497630331753,0.0045185185185185
2024-03-04,la6,169.0,0.0126182965299684,116,0.2231404958677686,0.0028391167192429
2024-03-04,t5,169.0,0.075268817204301,116,0.2540983606557377,0.0066239316239316
2024-03-11,a3,104.0,0.0921985815602836,142,0.1241997439180537,0.0114657210401891
2024-03-11,la6,104.0,0.0485074626865671,142,0.1675191815856777,0.0081467661691542
2024-03-11,t5,104.0,0.1027027027027027,142,0.1652892561983471,0.0125448028673835
2024-03-18,a3,318.0,0.1764705882352941,123,0.1579476861167002,0.0279857397504456
2024-03-18,la6,318.0,0.0825688073394495,123,0.1315304240934234,0.0109072375127421
2024-03-18,t5,318.0,0.1578947368421052,123,0.1429816913687881,0.0147747747747747
2024-03-25,a3,225.0,0.2068965517241379,111,0.1357340720221606,0.0281609195402298
2024-03-25,la6,225.0,0.1590909090909091,111,0.1571428571428571,0.025
2024-03-25,t5,225.0,0.0655737704918032,111,0.1707988980716253,0.0271929824561403
2024-04-01,a3,123.0,0.0297029702970297,175,0.1215469613259668,0.0036303630363036
2024-04-01,la6,123.0,0.0463576158940397,175,0.3791469194312796,0.0176600441501103
2024-04-01,t5,123.0,0.0053763440860215,175,0.256198347107438,0.0169398907103825
2024-04-08,a3,206.0,0.0218579234972677,182,0.2674897119341564,0.00591985428051
2024-04-08,la6,206.0,0.0099667774086378,182,0.2527472527472527,0.002547065337763
2024-04-08,t5,206.0,0.027027027027027,182,0.1475409836065573,0.0008064516129032
2024-04-15,a3,82.0,0.0252525252525252,172,0.1551155115511551,0.0039562289562289
2024-04-15,la6,82.0,0.028391167192429,172,0.3136531365313653,0.0089379600420609
2024-04-15,t5,82.0,0.0163043478260869,172,0.2277227722772277,0.0062162162162162
2024-04-22,a3,92.0,0.0309734513274336,135,0.2042755344418052,0.0063421828908554
2024-04-22,la6,92.0,0.0568181818181818,135,0.2814569536423841,0.0160984848484848
2024-04-22,t5,92.0,0.0,135,0.3278688524590163,0.0054347826086956
2024-04-29,a3,56.0,0.032258064516129,67,0.2670807453416149,0.0061827956989247
2024-04-29,t5,56.0,,67,0.0491803278688524,0.0
